Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),km_year
Mercedes,E Class,0.8087603278232458,Sedan,0.7731380219218547,,Diesel,Automatic,1.2282589149675185,1.3245580507684351
Lincoln,MKZ,1.249181160305614,Sedan,0.10136486263600461,,Hybrid,Automatic,1.1925557447253676,1.2062012796047141
Lexus,NX Series,1.249181160305614,Crossover,-0.765331834301476,,Petrol,Automatic,1.7240011393510801,0.2762576768007989
Dodge,Caliber,-0.07405288199173347,Hatchback,-0.286361847158541,,Metan/Propan,Automatic,-0.42210313371259234,-0.529559892963023
Audi,100,-2.2926786827406813,Sedan,0.5831942042272995,,Petrol,Manual,-0.9162277773790489,-0.5299860414593622
Porsche,Cayenne,0.5147818224416055,Crossover,0.6734549955845606,,Diesel,Automatic,1.8136386658673853,0.931580905113492
Lexus,RX Series,0.07326568780635243,SUV,0.6571105193929639,,Hybrid,Automatic,1.2050127848179017,0.5777517906490697
Volkswagen,Passat,0.5147818224416055,Sedan,0.2580246179628471,,Metan/Propan,Automatic,0.49234399546443447,0.48583463257682047
BMW,X1,0.9556401230095616,Crossover,0.1948303204051368,,Diesel,Automatic,1.1308487273358911,0.8752057108443307
Mercedes,GLC Coupe,1.249181160305614,Crossover,-0.841038714225192,,Diesel,Automatic,2.2383317800388736,0.19502611226146563
Opel,Vectra,-2.1442516210244014,Sedan,1.0244315324200879,,Petrol,Manual,-1.7097406879682744,-0.011570394817713396
BMW,7 Series,-0.22144483588723396,Sedan,0.8749117270404734,,Diesel,Automatic,0.6800217952208985,0.6280239128395342
Volkswagen,Touran,-0.6640617341702229,Minivan,0.7924928897226817,,Diesel,Automatic,-0.22882132354275142,0.30589540902094525
Volkswagen,Passat,0.2205109465437882,Universal,0.5470696579626685,,Metan/Propan,Automatic,-0.1434567411199362,0.5622774601188831
Toyota,Auris,0.2205109465437882,Sedan,0.2974105805027552,,Diesel,Manual,0.010632627643664709,0.29439959374861235
Nissan,Qashqai,0.07326568780635243,Hatchback,0.39301961026870513,,Diesel,Manual,-0.044806605198926534,0.294388934454303
BMW,3 Series,1.1024470430775788,Minivan,-0.07016875219654924,,Diesel,Automatic,0.8417769060055807,0.7884548767471872
BMW,5 Series,-0.811747957015062,Sedan,0.6571105193929639,,Petrol,Automatic,0.17695967233386156,0.09133155250084356
Dacia,Logan,0.8087603278232458,Sedan,0.36029874869208367,,Metan/Propan,Manual,-0.5592805633111595,0.8815919676128913
Dacia,Duster,0.9556401230095616,SUV,0.19639838231905773,,Diesel,Manual,0.3660668068433368,0.8768882015597147
Volkswagen,Golf,0.2205109465437882,Universal,0.3386624645380212,,Petrol,Manual,-0.1434567411199362,0.3386618204280937
Volkswagen,Passat,-2.5897563596310933,Sedan,0.8426232934031358,,Petrol,Manual,-2.0214757221080104,-0.33710852393288865
BMW,3 Series,-0.6640617341702229,Sedan,0.6571105193929639,,Diesel,Manual,-0.4210595530659357,0.16063355482740926
Nissan,Qashqai,0.9556401230095616,Crossover,0.10894964569928202,,Diesel,Manual,0.7052538529582545,0.7830579222010856
Peugeot,3008,1.3958425468655484,Crossover,-0.10583108165551246,,Diesel,Automatic,1.1035790655511564,1.2699050628715005
BMW,X5,-0.5164491886657425,SUV,0.7062586568928119,,Petrol,Automatic,0.3923026151995495,0.28663247656449725
Renault,Megane,-0.5164491886657425,Universal,-3.0623046958048863,,Diesel,Manual,-0.8207893748205397,-3.756940544985046
Nissan,Qashqai,0.6618075851320404,SUV,0.26467978458695257,,Diesel,Manual,0.3923026151995495,0.6280239128395342
Ford,Transit Connect,0.5147818224416055,Minivan,0.06001043895809369,,Diesel,Manual,-0.5889920894126881,0.27337043410852646
Renault,Scenic,0.9556401230095616,Microvan,0.30050606740693153,,Diesel,Manual,0.18632072304221645,0.9885931106614699
BMW,7 Series,0.07326568780635243,Sedan,0.4781038464440646,,Diesel,Automatic,1.1035790655511564,0.38568216472773115
Volkswagen,Polo,-0.22144483588723396,Hatchback,0.8985210841789568,,Diesel,Manual,-0.802599158284113,0.6533561550354812
BMW,5 Series,0.8087603278232458,Sedan,0.56397771501836,,Diesel,Automatic,1.2056647689773037,1.1001343393908467
Vaz,2121niva,-0.6640617341702229,Minivan,-2.9703551423948595,,Petrol,Manual,-1.495832748351606,-3.7315452183124114
BMW,5 Series,-1.5512868106991526,Sedan,-3.0623046958048863,,Petrol,Manual,-0.8207893748205397,-4.198948394136737
Nissan,Pulsar,0.8087603278232458,Hatchback,-0.6024798219398662,,Petrol,Manual,0.24688877561949465,-0.15144505195759422
Toyota,Avensis,-1.2552494259977915,Sedan,1.2768612318857981,,Metan/Propan,Manual,-0.8969000490568381,0.56839572859006
Honda,CR-V,-0.9595079307857564,Universal,0.7714023161034717,,Petrol,Manual,-0.10299599145127117,0.14821730269439032
BMW,5 Series,0.9556401230095616,Sedan,0.266245011158966,,Diesel,Automatic,1.4141284043250435,0.9518318651234626
Honda,CR-V,0.2205109465437882,Crossover,0.28442567744707453,,Diesel,Manual,0.8237741604489984,0.28046712167120885
Nissan,Note,0.3676829671490637,Hatchback,0.36029874869208367,,Diesel,Manual,-0.2399422168980107,0.4734059965869885
Volkswagen,Passat,-2.2926786827406813,Universal,0.9189050264569224,,Metan/Propan,Manual,1.765213773540279,-0.16977683260045234
Opel,Astra,0.2205109465437882,Hatchback,0.3292684503151612,,Diesel,Manual,0.010632627643664709,0.32858228111281956
Skoda,Rapid,1.1024470430775788,Universal,-0.2601873281325826,,Petrol,Automatic,0.550726460868807,0.5845697578468517
Volkswagen,Sharan,-0.3689102470265021,Minivan,0.6571105193929639,,Diesel,Manual,0.08069794890978908,0.311604883098279
Nissan,Qashqai,0.9556401230095616,Crossover,0.0388879162474134,,Petrol,Automatic,0.777848889743967,0.7078834611291015
Skoda,Superb,1.1024470430775788,Sedan,0.19639838231905773,,Diesel,Automatic,1.1719427977377934,1.0744746600652737
Toyota,Corolla,-0.3689102470265021,Universal,0.6854422659471775,,Diesel,Manual,-0.1874979347134757,0.34200412952144993
Mazda,Tribute,-0.9595079307857564,SUV,0.680766724482172,,Petrol,Manual,-0.5619240014508026,0.05096760864062876
Chevrolet,Volt,0.3676829671490637,Hatchback,0.3292684503151612,,Plug-in Hybrid,Automatic,0.4118259115976358,0.44011127241106685
Volkswagen,Passat,-0.9595079307857564,Universal,0.7490481267500668,,Petrol,Manual,-1.0871834989937426,0.12423182373903935
Volkswagen,Touareg,0.2205109465437882,SUV,0.5831942042272995,,Diesel,Automatic,1.3837245825612918,0.60103818324347
BMW,5 Series,-1.2552494259977915,Sedan,0.6789101400531725,,Petrol,Manual,-0.4207988028782517,-0.07319064713311667
Renault,Megane,0.07326568780635243,Universal,0.1607360528600945,,Diesel,Manual,-0.29741972829035546,0.045154560985523694
Toyota,C-HR,1.249181160305614,Crossover,-0.27053024399233094,,Hybrid,Automatic,1.2055995868630798,0.8071672501164838
BMW,7 Series,-1.5512868106991526,Sedan,1.0590600242382886,,Petrol,Manual,-0.5619240014508026,0.22317155828575144
Mercedes,E Class,0.5147818224416055,Sedan,0.04687857693944316,,Diesel,Automatic,0.9511725736689445,0.2592802787862561
Audi,A7,1.3958425468655484,Hatchback,-1.8330825676382025,,Petrol,Automatic,2.0024872599407026,-0.5833920311394927
Renault,Clio,-0.3689102470265021,Hatchback,0.7924928897226817,,Diesel,Manual,-0.4744102065899711,0.45686673729181504
Citroen,C3,0.5147818224416055,Hatchback,0.006379806383022282,,Diesel,Automatic,0.0805279010125935,0.21582612379357372
Audi,A6,-1.6994166467473895,Sedan,-1.883745518470254,,Metan/Propan,Manual,-0.998594605466643,-2.9867088535051605
Ford,Fusion,0.6618075851320404,Sedan,0.2513321672976237,,Hybrid,Automatic,0.4296412609586757,0.6137022575768053
Toyota,Prius,0.8087603278232458,Sedan,-0.035540260378348544,,Plug-in Hybrid,Automatic,0.649009096249723,0.45686673729181504
Volkswagen,Vento,-2.2926786827406813,Sedan,0.8749117270404734,,Petrol,Manual,-1.5628935981559875,-0.2169805285452093
Renault,Captur,1.249181160305614,Crossover,-0.1332943444787466,,Diesel,Automatic,0.6268018944966633,0.954417894175307
Lexus,CT Series,0.5147818224416055,Hatchback,0.34798318271475864,,Hybrid,Automatic,0.6225238753004302,0.5823578939484932
Volvo,XC60,0.2205109465437882,SUV,0.40243004334178434,,Diesel,Automatic,0.9720379540220843,0.40708281728246587
Dacia,Dokker,0.6618075851320404,Minivan,0.44312592623581043,,Diesel,Manual,-0.13320999070687925,0.8194921028739184
Hyundai,i30,0.2205109465437882,Hatchback,0.006379806383022282,,Petrol,Manual,-0.35736468073660455,-0.01786905521248987
Lexus,CT Series,0.5147818224416055,Hatchback,0.35415683634841616,,Hybrid,Automatic,0.5159293997853069,0.588982067921734
Volvo,XC90,-0.07405288199173347,SUV,0.6523225397595545,,Diesel,Manual,0.6800217952208985,0.47762467777656836
Hyundai,Getz,-0.07405288199173347,Hatchback,-0.018595305071834947,,Petrol,Manual,-0.7159875769468477,-0.24225317570156346
Mercedes,A Class,-0.5164491886657425,Hatchback,0.7039635566299997,,Metan/Propan,Automatic,-0.35736468073660455,0.2841698921162843
Mercedes,C Class,-0.9595079307857564,Coupe,0.6083445925248685,,Petrol,Manual,-0.7159875769468477,-0.026739504531830396
Jaguar,Xf,0.5147818224416055,Sedan,-0.2196885575761617,,Diesel,Automatic,1.0674030264474608,-0.026739504531830396
Mercedes,E Class,0.2205109465437882,Sedan,0.27787991137429197,,Petrol,Automatic,0.7052538529582545,0.27344368047621587
