Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),km_year
Toyota,Prius,0.8,Sedan,0.31485078103374164,0.19047619047619047,Plug-in Hybrid,Automatic,0.2145748987854251,0.48501070663811563
Volkswagen,Vento,0.2,Sedan,0.6749297283429392,0.42857142857142855,Petrol,Manual,0.022267206477732792,0.28583031824558813
Renault,Captur,0.8857142857142857,Crossover,0.2900953534062343,0.35714285714285715,Diesel,Automatic,0.2103238866396761,0.7160599571734475
Lexus,CT Series,0.7428571428571429,Hatchback,0.43412693232991334,0.42857142857142855,Hybrid,Automatic,0.20951417004048584,0.5351177730192719
Volvo,XC60,0.6857142857142857,SUV,0.4543813731160557,0.5714285714285714,Diesel,Automatic,0.28643724696356276,0.466452533904354
Dacia,Dokker,0.7714285714285715,Minivan,0.4701348270608331,0.35714285714285715,Diesel,Manual,0.10425101214574899,0.6443016892695693
Hyundai,i30,0.6857142857142857,Hatchback,0.3261032481371541,0.3333333333333333,Petrol,Manual,0.0840080971659919,0.3342255531763027
Lexus,CT Series,0.7428571428571429,Hatchback,0.4363774257505958,0.42857142857142855,Hybrid,Automatic,0.19026315789473683,0.5379014989293361
Volvo,XC90,0.6285714285714286,SUV,0.5601545638881325,0.5714285714285714,Diesel,Manual,0.22064777327935223,0.4929642092382992
Hyundai,Getz,0.6285714285714286,Hatchback,0.3193517678751066,0.2619047619047619,Petrol,Manual,0.05868421052631579,0.28020801468338946
Mercedes,A Class,0.5428571428571428,Hatchback,0.5849099915156398,0.35714285714285715,Metan/Propan,Automatic,0.0840080971659919,0.42360498803375746
Mercedes,C Class,0.45714285714285713,Coupe,0.5399001231019901,0.5476190476190477,Petrol,Manual,0.05868421052631579,0.33190578158458245
Jaguar,Xf,0.7428571428571429,Sedan,0.26984091262009197,0.5238095238095238,Diesel,Automatic,0.31172064777327935,0.33190578158458245
Mercedes,E Class,0.6857142857142857,Sedan,0.409371504702406,0.42857142857142855,Petrol,Automatic,0.2257085020242915,0.42005710206995006
Skoda,Octavia,0.5428571428571428,Universal,0.6749297283429392,0.47619047619047616,Petrol,Manual,0.08904858299595142,0.4891044212117395
Opel,Astra,0.6285714285714286,Universal,0.697434662549764,0.30952380952380953,Diesel,Manual,0.0860323886639676,0.6142551238910982
Skoda,Superb,0.8,Sedan,0.41837347838513594,0.38095238095238093,Diesel,Automatic,0.23684210526315788,0.6450749464668094
